,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
2681,False,/nJnDFh01Ih8r8eIhfTqhN9DIytd.jpg,"[18, 35]",78480,fr,Monsieur Lazhar,"During a harsh Montréal winter, an elementary-school class is left reeling after its teacher commits suicide. Bachir Lazhar, a charismatic Algerian immigrant, steps in as the substitute teacher for the classroom of traumatized children. All the while, he must keep his personal life tucked away: the fact that he is seeking political refuge in Québec – and that he, like the children, has suffered an appalling loss.",17.737,/qcSXbOP1iv859kgQgqZ4Ib9yqKG.jpg,2011-09-10,Monsieur Lazhar,False,7.124,302
2682,False,/qHhuTmhRCYvj9ls4STFGnaeAPhR.jpg,"[28, 80]",23483,en,Kick-Ass,"Dave Lizewski is an unnoticed high school student and comic book fan who one day decides to become a super-hero, even though he has no powers, training or meaningful reason to do so.",42.819,/8citjdBmjddZjlPsAHEyCKwGVvD.jpg,2010-03-26,Kick-Ass,False,7.124,11342
2683,False,/vga7453tBLXDqxeTV2IGUpVgIgk.jpg,"[35, 12]",11575,en,The Great Race,"Professional daredevil and white-suited hero, The Great Leslie, convinces turn-of-the-century auto makers that a race from New York to Paris (westward across America, the Bering Straight and Russia) will help to promote automobile sales. Leslie's arch-rival, the mustached and black-attired Professor Fate vows to beat Leslie to the finish line in a car of Fate's own invention.",12.624,/9rL8GWuFdO3fLXcNV9rZRHskoOn.jpg,1965-07-01,The Great Race,False,7.1,303
2684,False,/lTjRJ18JzsSfpwIdhCjv5BAMs03.jpg,"[36, 53, 10752]",351339,en,Anthropoid,"In December 1941, Czech soldiers Jozef Gabčík and Jan Kubiš parachute into their occupied homeland to assassinate Nazi officer Reinhard Heydrich.",17.89,/5hUghRVVkBYufftfNQkGevY5AmE.jpg,2016-08-12,Anthropoid,False,7.1,962
2685,False,/yJIRptBDdt92JS4decYj5HL3Q60.jpg,"[53, 80, 28]",197950,fr,La French,"Newly transferred to the bustling port city of Marseille to assist with a crackdown on organized crime, energetic young magistrate Pierre Michel is given a rapid-fire tutorial on the ins and outs of an out-of-control drug trade. Pierre's wildly ambitious mission is to take on the French Connection, a highly organized operation that controls the city's underground heroin economy and is overseen by the notorious —and reputedly untouchable— Gaetan Zampa. Fearless, determined and willing to go the distance, Pierre plunges into an underworld world of insane danger and ruthless criminals.",17.91,/kIkmaZATFP4RkQSiWgyL6KGOTq6.jpg,2014-12-03,The Connection,False,7.123,800
2686,False,/8U9GfW8RVbkfOHExyNxZ6PAvPFQ.jpg,"[18, 36]",2117,de,Sophie Scholl – Die letzten Tage,"In 1943, as Hitler continues to wage war across Europe, a group of college students mount an underground resistance movement in Munich. Dedicated expressly to the downfall of the monolithic Third Reich war machine, they call themselves the White Rose. One of its few female members, Sophie Scholl is captured during a dangerous mission to distribute pamphlets on campus with her brother Hans. Unwavering in her convictions and loyalty to the White Rose, her cross-examination by the Gestapo quickly escalates into a searing test of wills as Scholl delivers a passionate call to freedom and personal responsibility.",10.293,/aAbxubEzowWJNBWYG82wXcKuzZP.jpg,2005-02-13,Sophie Scholl: The Final Days,False,7.123,406
2687,False,/n3pJwYuPnkw7JX7tOMbH0GRfBPn.jpg,"[14, 16, 10751]",408,en,Snow White and the Seven Dwarfs,"A beautiful girl, Snow White, takes refuge in the forest in the house of seven dwarfs to hide from her stepmother, the wicked Queen. The Queen is jealous because she wants to be known as ""the fairest in the land,"" and Snow White's beauty surpasses her own.",57.679,/yJSMnMBtcHSub75p1dmdyqnQloa.jpg,1937-12-21,Snow White and the Seven Dwarfs,False,7.123,7143
2688,False,/kAErJpVU4ul9R3VzroM8awWrlT2.jpg,"[35, 10749]",458423,en,Mamma Mia! Here We Go Again,"Five years after meeting her three fathers, Sophie Sheridan prepares to open her mother’s hotel. In 1979, young Donna Sheridan meets the men who each could be Sophie’s biological father.",27.693,/aWicerX4Y7n7tUwRAVHsVcBBpj2.jpg,2018-07-09,Mamma Mia! Here We Go Again,False,7.122,3240
2689,False,/gqeXM1H8hR9CX3kKWRMOxxbIstJ.jpg,"[18, 53, 9648]",468198,it,The Place,"In a coffee shop, nine seemingly unrelated strangers meet with a mysterious man who claims to have the power to grant all their wishes, but in return they'll have to carry out any task he decides to assign them.",16.532,/doGGzqZOJ7VZWVZdstRAs0i3de1.jpg,2017-11-04,The Place,False,7.121,1171
2690,False,/4XM8DUTQb3lhLemJC51Jx4a2EuA.jpg,"[28, 80, 53]",385687,en,Fast X,"Over many missions and against impossible odds, Dom Toretto and his family have outsmarted, out-nerved and outdriven every foe in their path. Now, they confront the most lethal opponent they've ever faced: A terrifying threat emerging from the shadows of the past who's fueled by blood revenge, and who is determined to shatter this family and destroy everything—and everyone—that Dom loves, forever.",589.908,/fiVW06jE7z9YnO4trhaMEdclSiC.jpg,2023-05-17,Fast X,False,7.12,5198
2691,False,/aDKuDfEAYa2VENKd155D4ZoAl7c.jpg,"[35, 18]",48034,fr,Les Petits Mouchoirs,"Despite a traumatic event, a group of friends decide to go ahead with their annual beach vacation. Their relationships, convictions, sense of guilt and friendship are sorely tested. They are finally forced to own up to the little white lies they've been telling each other.",12.43,/djypJtQfUxeEMh6kc0aRzIoN9UR.jpg,2010-10-20,Little White Lies,False,7.1,1514
2692,False,/xnWZtdNW0QrCSIQobIn9owWUJ6j.jpg,"[10402, 18, 36]",10537,en,The Doors,"The story of the famous and influential 1960s rock band and its lead singer and composer, Jim Morrison.",23.687,/x1LM3dzGuG6xOz0aT2e71o11vhu.jpg,1991-03-01,The Doors,False,7.121,1364
2693,False,/uybT3vd3lvvdQZdK4YAZTG7cmOa.jpg,"[80, 18, 10402]",12473,en,The Visitor,A college professor travels to New York City to attend a conference and finds a young couple living in his apartment.,20.05,/9XRRSD7swlYrGBhZ8vOR2yngIKZ.jpg,2007-09-07,The Visitor,False,7.12,424
2694,False,/dB9pJFYLvaf9w2sYtVH9TYOu6Vr.jpg,"[35, 80]",11485,en,Take the Money and Run,"Virgil Starkwell is intent on becoming a notorious bank robber. Unfortunately for Virgil and his not-so-budding career, he is completely incompetent.",11.522,/dT7cKFxsuHzSnDBxKeP5acoIpWZ.jpg,1969-08-18,Take the Money and Run,False,7.12,716
2695,False,/5s5Vau1tCvoQaaTTTGk4Qux8CcH.jpg,"[18, 36]",3059,en,Intolerance: Love's Struggle Throughout the Ages,"The story of a poor young woman, separated by prejudice from her husband and baby, is interwoven with tales of intolerance from throughout history.",11.507,/lJCabs4TMOsKfnl0BmA5Hf16Ezb.jpg,1916-09-04,Intolerance: Love's Struggle Throughout the Ages,False,7.12,321
2696,False,/pVmCanXNPYqE74cJoL0U6C9ONf5.jpg,"[9648, 18, 53]",473,en,Pi,"A mathematical genius discovers a link between numbers and reality, and thus believes he can predict the future.",22.027,/fJA22FjlAW8rzrOw9Mwanl6oTc9.jpg,1998-07-10,Pi,False,7.1,2146
2697,False,/jjXnYpRQMqzylAmYqKL7VFa3l9w.jpg,"[80, 18, 53, 9648]",799876,en,The Outfit,"Leonard is an English tailor who used to craft suits on London’s world-famous Savile Row. After a personal tragedy, he’s ended up in Chicago, operating a small tailor shop in a rough part of town where he makes beautiful clothes for the only people around who can afford them: a family of vicious gangsters.",39.456,/lZa5EB6PVJBT5mxhgZS5ftqdAm6.jpg,2022-02-25,The Outfit,False,7.115,978
2698,False,/5WparwIlAtSZW0tcWbK2NHEZJC6.jpg,"[18, 36]",310307,en,The Founder,"The true story of how Ray Kroc, a salesman from Illinois, met Mac and Dick McDonald, who were running a burger operation in 1950s Southern California. Kroc was impressed by the brothers’ speedy system of making the food and saw franchise potential. He maneuvered himself into a position to be able to pull the company from the brothers and create a billion-dollar empire.",151.613,/8gLIksu5ggdfBL1UbeTeonHquxl.jpg,2016-11-24,The Founder,False,7.1,4725
2699,False,/Am5FMJgYbHbTtWFtGPYPTAD8TuM.jpg,"[18, 27, 53]",19236,es,Santa Sangre,A former circus artist escapes from a mental hospital to rejoin his mother - the leader of a strange religious cult - and is forced to enact brutal murders in her name.,17.286,/6VTra0NR4ygRnq3bD922I4rU0Mq.jpg,1989-11-24,Santa Sangre,False,7.1,410
2700,False,/nY103Y9P6yMgk4Vr7H0PHOpNf1Z.jpg,"[35, 10749]",17887,en,Barefoot in the Park,"In this film based on a Neil Simon play, newlyweds Corie, a free spirit, and Paul Bratter, an uptight lawyer, share a sixth-floor apartment in Greenwich Village. Soon after their marriage, Corie tries to find a companion for mother, Ethel, who is now alone, and sets up Ethel with neighbor Victor. Inappropriate behavior on a double date causes conflict, and the young couple considers divorce.",10.645,/qh64tAOmbQNoYMLTETkhmBQgSbu.jpg,1967-05-25,Barefoot in the Park,False,7.119,549
2701,False,/r19wkx0JESCD74GVyREFLzZN2VA.jpg,[18],9787,en,Lords of Dogtown,"The radical true story behind three teenage surfers from Venice Beach, California, who took skateboarding to the extreme and changed the world of sports forever. Stacy Peralta, Tony Alva and Jay Adams are the Z-Boys, a bunch of nobodies until they create a new style of skateboarding that becomes a worldwide phenomenon. But when their hobby becomes a business, the success shreds their friendship.",18.682,/k2NiPfydLSwmk28C6qpvpJPuqtq.jpg,2005-06-03,Lords of Dogtown,False,7.119,720
2702,False,/tweDJNQzBGgsWVF5MC8JhSAk07p.jpg,"[53, 878, 27]",570670,en,The Invisible Man,"When Cecilia's abusive ex takes his own life and leaves her his fortune, she suspects his death was a hoax. As a series of coincidences turn lethal, Cecilia works to prove that she is being hunted by someone nobody can see.",31.688,/5EufsDwXdY2CVttYOk2WtYhgKpa.jpg,2020-02-26,The Invisible Man,False,7.118,5545
2703,False,/wy3ItrIw4DmLFxvFK5LM6FPwdQw.jpg,"[10751, 10402, 12, 35, 14, 10770]",277217,en,Descendants,"A present-day idyllic kingdom where the benevolent teenage son of King Adam and Queen Belle offers a chance of redemption for the troublemaking offspring of Disney's classic villains: Cruella De Vil (Carlos), Maleficent (Mal), the Evil Queen (Evie) and Jafar (Jay).",63.602,/65DkgHPSLVjgr6IYkpY9Aqqqid5.jpg,2015-07-31,Descendants,False,7.118,2232
2704,False,/pdhwL4wePKQduRDCDWBPFfpIUH1.jpg,"[878, 28, 18, 53, 10770]",69315,en,Battlestar Galactica: Razor,A two-hour Battlestar Galactica special that tells the story of the Battlestar Pegasus several months prior to it finding the Galactica.,14.55,/tO3EoFJj0FJjKelDW5SUtquDIy2.jpg,2007-11-12,Battlestar Galactica: Razor,False,7.118,384
2705,False,/gpcJuvH1tRWfdGv6ysWVRN3EZXL.jpg,"[35, 28]",24804,en,Black Dynamite,"This is the story of 1970s African-American action legend Black Dynamite. The Man killed his brother, pumped heroin into local orphanages, and flooded the ghetto with adulterated malt liquor. Black Dynamite was the one hero willing to fight The Man all the way from the blood-soaked city streets to the hallowed halls of the Honky House.",17.77,/u3oWQDz0JggzzsVlsuHY7XVxp5Y.jpg,2009-10-16,Black Dynamite,False,7.118,593
2706,False,/yGgEg4yimYQJLZrZg3Qhogp2raQ.jpg,"[10751, 16, 10749]",10340,en,Lady and the Tramp,"Lady, a golden cocker spaniel, meets up with a mongrel dog who calls himself the Tramp. He is obviously from the wrong side of town, but happenings at Lady's home make her decide to travel with him for a while.",42.946,/340NcWz9SQXWQyf4oicMxjbrLOb.jpg,1955-06-22,Lady and the Tramp,False,7.1,5093
2707,False,/5HjzYTihkH7EvOWSE7KcsF6pBMM.jpg,"[10751, 35, 12, 16]",522478,en,Peter Rabbit 2: The Runaway,"Peter Rabbit runs away from his human family when he learns they are going to portray him in a bad light in their book. Soon, he crosses paths with an older rabbit who ropes him into a heist.",38.71,/cycDz68DtTjJrDJ1fV8EBq2Xdpb.jpg,2021-03-25,Peter Rabbit 2: The Runaway,False,7.1,759
2708,False,/ohHq0PZvDWeFOVtY1QRG04y3zJo.jpg,"[10752, 18, 53]",334517,en,The Siege of Jadotville,Irish Commandant Pat Quinlan leads a stand off with troops against French and Belgian Mercenaries in the Congo during the early 1960s.,15.562,/adrno1y0mKpMwjSlMQojZEUk82V.jpg,2016-09-19,The Siege of Jadotville,False,7.117,840
2709,False,/q0arvx5ai3x3vMJICHiCfAfQJzh.jpg,"[80, 18]",63310,nl,Rundskop,A young  cattle farmer is approached by an unscrupulous veterinarian to make a shady deal with a notorious beef trader.,13.032,/j9XzaLtFAJIozDH4MQwxaR2aDvJ.jpg,2011-02-02,Bullhead,False,7.117,326
